id,name,reviews,rating,price_range_usd,is_sponsored,latitude,longitude,has_delivery,is_premium,cuisines,reviews_per_rating,diets,dining_options
2418348,Leicester Arms,602,4.5,$$ - $$$,True,51.510597,-0.137677,False,False,"['British', 'Pub']","{'1': 30, '2': 23, '3': 51, '4': 156, '5': 342}","['Vegetarian friendly', 'Gluten free options']","['Reservations', 'Seating', 'Street Parking', 'Television', 'Serves Alcohol', 'Full Bar', 'Wine and Beer', 'American Express', 'Mastercard', 'Visa', 'Digital Payments', 'Free Wifi', 'Accepts Credit Cards', 'Live Music', 'Family style', 'Sports bars']"
26452946,Swiss Butter,182,4.0,$$ - $$$,True,51.52062,-0.122808,False,True,"['French', 'Steakhouse']","{'1': 21, '2': 15, '3': 14, '4': 22, '5': 110}",[],"['Seating', 'Wheelchair Accessible', 'Serves Alcohol', 'Full Bar', 'Wine and Beer', 'Accepts Credit Cards', 'Table Service']"
25151198,Florattica Rooftop Bar London,316,4.5,$$ - $$$,False,51.512955,-0.075292,False,True,"['Bar', 'European', 'British', 'Healthy', 'Dining bars']","{'1': 15, '2': 4, '3': 7, '4': 11, '5': 279}",[],"['Reservations', 'Outdoor Seating', 'Seating', 'Serves Alcohol', 'Full Bar', 'Wine and Beer', 'American Express', 'Mastercard', 'Visa', 'Free Wifi', 'Accepts Credit Cards', 'Table Service']"
2213156,The Black Dog Freehouse,733,4.5,$$ - $$$,False,51.488724,-0.120889,False,False,"['Bar', 'British', 'Pub']","{'1': 19, '2': 23, '3': 47, '4': 216, '5': 428}","['Vegetarian friendly', 'Vegan options', 'Gluten free options']","['Reservations', 'Outdoor Seating', 'Seating', 'Highchairs Available', 'Serves Alcohol', 'Full Bar', 'Free Wifi', 'Accepts Credit Cards', 'Table Service']"
27930238,Fitz's Brasserie,48,5.0,$$ - $$$,False,51.522408,-0.124933,False,False,"['Steakhouse', 'British', 'Contemporary']","{'1': 0, '2': 1, '3': 1, '4': 2, '5': 44}",['Vegetarian friendly'],"['Reservations', 'Seating', 'Wheelchair Accessible', 'Serves Alcohol', 'Wine and Beer', 'Table Service', 'Dog Friendly']"
28156752,Brother Marcus Covent Garden,114,5.0,$$ - $$$,False,51.51281,-0.126368,False,False,"['Lebanese', 'Mediterranean', 'Turkish', 'Greek', 'Middle Eastern']","{'1': 0, '2': 1, '3': 2, '4': 2, '5': 109}","['Vegetarian friendly', 'Vegan options', 'Gluten free options']","['Reservations', 'Seating', 'Serves Alcohol', 'Accepts Credit Cards', 'Table Service']"
17581691,Circolo Popolare,2507,4.5,$$ - $$$,False,51.51725,-0.133866,False,False,"['Italian', 'Pizza', 'Mediterranean', 'Neapolitan', 'Campania', 'Sicilian', 'Southern-Italian']","{'1': 178, '2': 161, '3': 227, '4': 229, '5': 1713}","['Vegetarian friendly', 'Vegan options', 'Gluten free options']","['Reservations', 'Seating', 'Serves Alcohol', 'Full Bar', 'Table Service']"
8565720,Blue Posts,272,4.5,$$ - $$$,True,51.512913,-0.139426,False,False,"['Pub', 'Bar', 'British']","{'1': 16, '2': 7, '3': 16, '4': 45, '5': 188}",['Vegetarian friendly'],"['Seating', 'Reservations', 'Visa', 'Serves Alcohol', 'Buffet', 'Mastercard', 'Digital Payments', 'Wine and Beer', 'Full Bar', 'American Express', 'Television', 'Free Wifi', 'Table Service', 'Family style', 'Dog Friendly', 'Outdoor Seating', 'Sports bars', 'Waterfront', 'Accepts Credit Cards']"
25336907,Americana London,727,5.0,$$ - $$$,False,51.50882,-0.131699,False,False,"['American', 'Bar', 'Grill']","{'1': 6, '2': 9, '3': 15, '4': 59, '5': 638}","['Vegetarian friendly', 'Vegan options', 'Gluten free options']","['Reservations', 'Outdoor Seating', 'Private Dining', 'Seating', 'Street Parking', 'Highchairs Available', 'Wheelchair Accessible', 'Serves Alcohol', 'Full Bar', 'Wine and Beer', 'American Express', 'Mastercard', 'Visa', 'Free Wifi', 'Discover', 'Accepts Credit Cards', 'Table Service', 'Live Music', 'Dog Friendly', 'Family style']"
25268623,Altonapoli Italian Restaurant And Bar,192,4.5,$$ - $$$,False,51.530373,-0.122878,True,False,['Italian'],"{'1': 9, '2': 8, '3': 6, '4': 15, '5': 158}","['Vegetarian friendly', 'Vegan options']","['Delivery', 'Takeout', 'Reservations', 'Seating', 'Street Parking', 'Highchairs Available', 'Serves Alcohol', 'Full Bar', 'Wine and Beer', 'American Express', 'Mastercard', 'Visa', 'Digital Payments', 'Free Wifi', 'Accepts Credit Cards', 'Table Service', 'Dog Friendly', 'Family style', 'Non-smoking restaurants']"
